Nivel de consistência; Data; Vazão
2;1996-08-09;67.632
2;1996-08-09;62.865
2;1996-08-09;53.033
2;1996-08-09;41.711
2;1996-08-09;34.263
2;1996-08-09;29.794
2;1996-08-09;26.517
2;1996-08-09;24.431
2;1996-08-09;23.537
2;1996-08-09;22.345
2;1996-08-09;24.431
2;1996-08-09;24.133
2;1996-08-09;22.345
2;1996-08-09;21.451
2;1996-09-01;28.9
2;1996-09-02;36.944
2;1996-09-03;41.413
2;1996-09-04;61.077
2;1996-09-05;66.44
2;1996-09-06;65.248
2;1996-09-07;61.375
2;1996-09-08;57.204
2;1996-09-09;68.526
2;1996-09-09;91.058
2;1996-09-09;113.61
2;1996-09-09;117.945
2;1996-09-09;113.61
2;1996-09-09;103.087
2;1996-09-09;89.118
2;1996-09-09;74.261
2;1996-09-09;67.036
2;1996-09-09;62.865
2;1996-09-09;57.502
2;1996-09-09;51.841
2;1996-09-09;46.18
2;1996-09-09;40.52
2;1996-09-09;36.348
2;1996-09-09;31.879
2;1996-09-09;44.095
2;1996-09-09;49.16
2;1996-09-09;51.543
2;1996-09-09;54.225
2;1996-09-09;62.865
2;1996-09-09;65.844
2;1996-10-01;65.248
2;1996-10-02;62.865
2;1996-10-03;63.461
2;1996-10-04;76.052
2;1996-10-05;86.241
2;1996-10-06;89.118
2;1996-10-07;80.614
2;1996-10-08;70.611
2;1996-10-09;66.44
2;1996-10-09;60.183
2;1996-10-09;50.352
2;1996-10-09;48.862
2;1996-10-09;56.31
2;1996-10-09;61.673
2;1996-10-09;62.567
2;1996-10-09;59.29
2;1996-10-09;53.927
2;1996-10-09;46.776
2;1996-10-09;44.393
2;1996-10-09;78.775
2;1996-10-09;115.769
2;1996-10-09;124.581
2;1996-10-09;124.581
2;1996-10-09;120.139
2;1996-10-09;115.769
2;1996-10-09;111.469
2;1996-10-09;126.829
2;1996-10-09;131.377
2;1996-10-09;121.243
2;1996-10-09;110.406
2;1996-10-09;99.004
2;1996-11-01;96.991
2;1996-11-02;95.99
2;1996-11-03;91.058
2;1996-11-04;83.407
2;1996-11-05;74.261
2;1996-11-06;68.824
2;1996-11-07;63.461
2;1996-11-08;56.012
2;1996-11-09;56.012
2;1996-11-09;53.927
2;1996-11-09;60.481
2;1996-11-09;68.824
2;1996-11-09;81.54
2;1996-11-09;96.991
2;1996-11-09;101.037
2;1996-11-09;111.469
2;1996-11-09;129.094
2;1996-11-09;131.377
2;1996-11-09;127.959
2;1996-11-09;119.04
2;1996-11-09;105.156
2;1996-11-09;93.017
2;1996-11-09;80.614
2;1996-11-09;68.824
2;1996-11-09;62.865
2;1996-11-09;55.714
2;1996-11-09;50.054
2;1996-11-09;44.989
2;1996-11-09;40.818
2;1996-11-09;37.838
2;1996-12-01;35.157
2;1996-12-02;33.071
2;1996-12-03;36.646
2;1996-12-04;44.393
2;1996-12-05;48.564
2;1996-12-06;50.054
2;1996-12-07;49.756
2;1996-12-08;46.18
2;1996-12-09;40.222
2;1996-12-09;35.455
2;1996-12-09;53.927
2;1996-12-09;76.052
2;1996-12-09;107.242
2;1996-12-09;113.61
2;1996-12-09;109.347
2;1996-12-09;99.004
2;1996-12-09;87.196
2;1996-12-09;71.207
2;1996-12-09;63.461
2;1996-12-09;58.098
2;1996-12-09;56.31
2;1996-12-09;67.632
2;1996-12-09;138.331
2;1996-12-09;143.055
2;1996-12-09;138.331
2;1996-12-09;131.377
2;1996-12-09;126.829
2;1996-12-09;140.684
2;1996-12-09;155.169
2;1996-12-09;158.888
2;1996-12-09;157.644
2;1997-01-01;152.712
2;1997-01-02;144.247
2;1997-01-03;134.834
2;1997-01-04;117.945
2;1997-01-05;101.037
2;1997-01-06;83.407
