Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:65025000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65025000;2;01/01/1997;;1;1;213,55;50,947;126,048;26;19;1;1;1;;0;152,712;144,247;134,834;117,945;101,037;83,407;70,611;68,526;68,824;93,017;107,242;101,037;92,035;91,058;93,017;83,407;67,632;59,29;50,947;55,714;89,118;161,388;194,087;203,716;207,906;213,55;213,55;205,108;205,108;194,087;183,335;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/02/1997;;1;1;170,276;62,865;109,619;1;28;1;1;1;;0;170,276;153,938;145,443;135,995;126,829;113,61;101,037;93,017;83,407;72,488;81,54;112,537;129,094;134,834;131,377;124,581;126,829;135,995;133,677;122,351;108,292;95,99;85,292;79,692;72,488;69,42;66,44;62,865;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
65025000;2;01/03/1997;;1;1;76,052;23,835;44,974;9;30;1;1;1;;0;58,694;52,139;48,266;46,776;47,074;56,906;65,248;70,611;76,052;75,154;68,824;62,269;55,118;48,564;46,776;47,968;46,18;42,605;38,434;36,05;33,667;31,581;30,092;28,9;28,304;27,708;26,517;25,921;24,133;23,835;23,835;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/04/1997;;1;1;27,708;16,089;21,809;21;30;1;1;1;;0;23,537;23,835;24,133;24,431;24,729;24,133;23,239;22,643;22,345;22,047;21,75;21,154;19,962;18,77;18,77;18,77;21,451;24,133;24,729;25,325;27,708;27,708;24,729;20,558;19,068;18,174;16,983;16,983;16,387;16,089;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/05/1997;;1;1;30,092;12,811;17,002;22;13;1;1;1;;0;16,089;15,791;15,195;14,599;14,301;15,195;15,493;15,195;14,599;14,301;13,407;13,109;12,811;12,811;13,407;14,003;15,493;16,089;15,195;14,599;14,897;30,092;28,9;24,133;19,664;22,643;20,856;19,366;18,472;18,174;18,174;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/06/1997;;1;1;70,909;13,705;25,384;30;11;1;1;1;;0;17,876;18,174;17,578;16,387;15,791;16,983;16,983;15,493;14,003;14,003;13,705;14,599;15,195;24,133;32,177;27,708;21,75;17,578;16,387;26,814;42,605;36,348;28,006;22,643;19,962;18,174;36,646;52,735;60,183;70,909;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/07/1997;;1;1;99,004;19,366;41,096;2;17;1;1;1;;0;95,99;99,004;94,995;81,54;68,824;60,779;48,564;37,54;30,39;27,708;25,325;23,537;22,047;21,154;20,558;19,962;19,366;30,092;37,242;34,263;39,626;47,968;46,776;44,095;40,818;36,646;30,688;25,921;22,047;20,558;19,962;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/08/1997;;1;1;70,909;15,195;31,091;26;20;1;1;1;;0;19,366;19,366;19,962;21,154;22,643;24,729;25,921;25,325;22,643;20,558;18,77;18,174;18,77;17,578;16,983;16,983;15,791;15,493;15,791;15,195;24,729;42,307;49,756;61,971;69,717;70,909;68,228;63,163;52,735;39,924;29,198;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/09/1997;;1;1;83,407;16,684;41,075;30;9;1;1;1;;0;23,835;21,75;20,26;19,366;19,068;19,962;19,366;17,578;16,684;16,684;21,75;24,729;20,26;22,345;55,417;65,844;67,632;62,269;61,971;57,502;59,886;59,886;60,481;55,118;46,18;51,841;53,331;51,245;56,608;83,407;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/10/1997;;1;1;144,247;76,955;113,372;23;20;1;1;1;;0;107,242;110,406;104,119;94,995;84,347;86,241;117,945;123,464;122,351;117,945;121,243;138,331;141,867;135,995;127,959;122,351;114,687;96,991;79,692;76,955;89,118;135,995;144,247;144,247;141,867;138,331;127,959;113,61;85,292;81,54;87,196;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
