Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64005000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64005000;1;1;17/09/1969;8,591;
64005000;1;1;18/09/1969;7,567;
64005000;1;1;19/09/1969;8,296;
64005000;1;1;20/09/1969;8,296;
64005000;1;1;21/09/1969;7,567;
64005000;1;1;22/09/1969;8,296;
64005000;1;1;23/09/1969;9,789;
64005000;1;1;24/09/1969;9,487;
64005000;1;1;25/09/1969;8,887;
64005000;1;1;26/09/1969;8,296;
64005000;1;1;27/09/1969;7,712;
64005000;1;1;28/09/1969;6,852;
64005000;1;1;29/09/1969;9,037;
64005000;1;1;30/09/1969;19,594;
64005000;1;1;01/10/1969;24,928;
64005000;1;1;02/10/1969;13,715;
64005000;1;1;03/10/1969;16,018;
64005000;1;1;04/10/1969;32,395;
64005000;1;1;05/10/1969;16,185;
64005000;1;1;06/10/1969;16,185;
64005000;1;1;07/10/1969;27,498;
64005000;1;1;08/10/1969;36,263;
64005000;1;1;09/10/1969;16,185;
64005000;1;1;10/10/1969;13,231;
64005000;1;1;11/10/1969;10,863;
64005000;1;1;12/10/1969;9,336;
64005000;1;1;13/10/1969;7,857;
64005000;1;1;14/10/1969;7,423;
64005000;1;1;15/10/1969;6,852;
64005000;1;1;16/10/1969;6,852;
64005000;1;1;17/10/1969;6,852;
64005000;1;1;18/10/1969;6,852;
64005000;1;1;19/10/1969;9,336;
64005000;1;1;20/10/1969;60,818;
64005000;1;1;21/10/1969;68,248;
64005000;1;1;22/10/1969;32,395;
64005000;1;1;23/10/1969;33,354;
64005000;1;1;24/10/1969;32,395;
64005000;1;1;25/10/1969;26,943;
64005000;1;1;26/10/1969;24,928;
64005000;1;1;27/10/1969;12,431;
64005000;1;1;28/10/1969;11,957;
64005000;1;1;29/10/1969;11,642;
64005000;1;1;30/10/1969;11,329;
